crop_name,profit
lentil,-176.2398704
coffee,-534.4396907
coconut,-101.4609253
blackgram,1795.035697
lentil,316.5003376
mungbean,-309.6050121
kidneybeans,130.8459647
coffee,-322.4653656
apple,223.161265
mothbeans,-361.0900526
papaya,996.3109833
maize,-607.6634048
banana,-327.2830336
pigeonpeas,-666.6876197
orange,-321.7339391
pigeonpeas,848.494829
chickpea,1989.093219
coconut,1546.444005
blackgram,1070.645352
banana,688.8965199
chickpea,-879.79107
chickpea,-190.624619
rice,480.1134076
grapes,384.1209294
pomegranate,-152.5204966
mothbeans,165.9680851
banana,152.3801966
blackgram,-75.32681143
coconut,-309.4840227
banana,-59.34069466
mothbeans,767.8320289
mango,527.0129961
papaya,518.2694668
chickpea,800.6378074
grapes,-321.7468359
kidneybeans,1139.525007
lentil,-432.7598976
apple,344.0234546
mango,1847.528772
cotton,628.5925804
mungbean,636.7406581
mango,1400.75342
blackgram,757.14176
jute,-371.3653022
muskmelon,-504.9387467
maize,75.50403928
banana,-134.0282947
jute,-394.9310616
pigeonpeas,93.16119761
mothbeans,878.6235044
coconut,-39.56336938
watermelon,503.3737884
mungbean,401.9601742
mango,-499.6230276
orange,2119.444702
kidneybeans,-64.43987272
cotton,310.8185725
coffee,142.194785
coffee,951.2293797
pomegranate,-365.1229045
rice,-398.8921065
kidneybeans,841.3060342
grapes,1045.449981
mothbeans,790.5346992
muskmelon,829.6723938
watermelon,433.7507715
chickpea,342.2030352
coconut,1584.178041
mothbeans,724.8048255
maize,109.3259643
lentil,288.1778735
grapes,-82.00034186
papaya,1245.911678
mango,-202.5598427
jute,1495.919834
coffee,378.8963809
kidneybeans,501.3713443
mungbean,340.9940906
mango,628.6421576
banana,682.8384002
mungbean,1266.347537
pomegranate,800.7115469
lentil,80.68613382
maize,1411.109804
pigeonpeas,-88.45667754
pomegranate,1264.442268
watermelon,238.5370676
apple,-293.3027638
maize,224.8622515
coconut,785.3288152
lentil,573.5219243
watermelon,1341.115755
